授業コード,曜日,時限,学部,授業名,学期,担当教員,配当年次,単位数,詳細URL,みんキャン検索LINK
FS08,火,1,商学部,健康・スポーツⅡ　オンラインエクササイズⅡ,秋学期,伊澤　英紀,1年次配当,1単位,https://syllabus.chuo-u.ac.jp/syllabus/detail/?id=9215&k_code=C0,https://campus.nikki.ne.jp/university/search/809/?lfname=%E4%BC%8A%E6%BE%A4
FS09,金,3,商学部,健康・スポーツⅡ　ソフトボール,秋学期,加藤　健志,1年次配当,1単位,https://syllabus.chuo-u.ac.jp/syllabus/detail/?id=9214&k_code=C0,https://campus.nikki.ne.jp/university/search/809/?lfname=%E5%8A%A0%E8%97%A4
FS0A,火,2,商学部,健康・スポーツⅡ　オルタナティブスポーツ【アクティブ】,秋学期,関根　正敏,1年次配当,1単位,https://syllabus.chuo-u.ac.jp/syllabus/detail/?id=9213&k_code=C0,https://campus.nikki.ne.jp/university/search/809/?lfname=%E9%96%A2%E6%A0%B9
FS0B,金,2,商学部,健康・スポーツⅡ　オルタナティブスポーツ【アクティブ】,秋学期,今村　貴幸,1年次配当,1単位,https://syllabus.chuo-u.ac.jp/syllabus/detail/?id=9212&k_code=C0,https://campus.nikki.ne.jp/university/search/809/?lfname=%E4%BB%8A%E6%9D%91
FS0C,火,3,商学部,健康・スポーツⅡ　オルタナティブスポーツ【バレー】,秋学期,北原　澄高,1年次配当,1単位,https://syllabus.chuo-u.ac.jp/syllabus/detail/?id=9211&k_code=C0,https://campus.nikki.ne.jp/university/search/809/?lfname=%E5%8C%97%E5%8E%9F
FS0D,火,2,商学部,健康・スポーツⅡ　オルタナティブスポーツ【バレー】,秋学期,北原　澄高,1年次配当,1単位,https://syllabus.chuo-u.ac.jp/syllabus/detail/?id=9210&k_code=C0,https://campus.nikki.ne.jp/university/search/809/?lfname=%E5%8C%97%E5%8E%9F
FS0E,金,2,商学部,健康・スポーツⅡ　フットサル,秋学期,笛木　寛,1年次配当,1単位,https://syllabus.chuo-u.ac.jp/syllabus/detail/?id=9209&k_code=C0,https://campus.nikki.ne.jp/university/search/809/?lfname=%E7%AC%9B%E6%9C%A8
FS0F,火,3,商学部,健康・スポーツⅡ　フットサル,秋学期,山田　信幸,1年次配当,1単位,https://syllabus.chuo-u.ac.jp/syllabus/detail/?id=9208&k_code=C0,https://campus.nikki.ne.jp/university/search/809/?lfname=%E5%B1%B1%E7%94%B0
FS0G,金,3,商学部,健康・スポーツⅡ　フットサル,秋学期,笛木　寛,1年次配当,1単位,https://syllabus.chuo-u.ac.jp/syllabus/detail/?id=9207&k_code=C0,https://campus.nikki.ne.jp/university/search/809/?lfname=%E7%AC%9B%E6%9C%A8
FS0H,火,2,商学部,健康・スポーツⅡ　フットサル,秋学期,山田　信幸,1年次配当,1単位,https://syllabus.chuo-u.ac.jp/syllabus/detail/?id=9206&k_code=C0,https://campus.nikki.ne.jp/university/search/809/?lfname=%E5%B1%B1%E7%94%B0
FS0I,金,2,商学部,健康・スポーツⅡ　オルタナティブスポーツ【バレー】,秋学期,飯田　周平,1年次配当,1単位,https://syllabus.chuo-u.ac.jp/syllabus/detail/?id=9205&k_code=C0,https://campus.nikki.ne.jp/university/search/809/?lfname=%E9%A3%AF%E7%94%B0
FS0J,金,2,商学部,健康・スポーツⅡ　テニス,秋学期,植田　実,1年次配当,1単位,https://syllabus.chuo-u.ac.jp/syllabus/detail/?id=9204&k_code=C0,https://campus.nikki.ne.jp/university/search/809/?lfname=%E6%A4%8D%E7%94%B0
FS0K,火,3,商学部,健康・スポーツⅡ　卓球,秋学期,渡邉　秀幹,1年次配当,1単位,https://syllabus.chuo-u.ac.jp/syllabus/detail/?id=9203&k_code=C0,https://campus.nikki.ne.jp/university/search/809/?lfname=%E6%B8%A1%E9%82%89
FS0L,火,2,商学部,健康・スポーツⅡ　卓球,秋学期,渡邉　秀幹,1年次配当,1単位,https://syllabus.chuo-u.ac.jp/syllabus/detail/?id=9202&k_code=C0,https://campus.nikki.ne.jp/university/search/809/?lfname=%E6%B8%A1%E9%82%89
FS0M,火,3,商学部,健康・スポーツⅡ　ピラティス,秋学期,齋藤　初恵,1年次配当,1単位,https://syllabus.chuo-u.ac.jp/syllabus/detail/?id=9201&k_code=C0,https://campus.nikki.ne.jp/university/search/809/?lfname=%E9%BD%8B%E8%97%A4
FS0N,金,2,商学部,健康・スポーツⅡ　卓球,秋学期,橋本　早予,1年次配当,1単位,https://syllabus.chuo-u.ac.jp/syllabus/detail/?id=9200&k_code=C0,https://campus.nikki.ne.jp/university/search/809/?lfname=%E6%A9%8B%E6%9C%AC
FS0O,金,3,商学部,健康・スポーツⅡ　卓球,秋学期,橋本　早予,1年次配当,1単位,https://syllabus.chuo-u.ac.jp/syllabus/detail/?id=9199&k_code=C0,https://campus.nikki.ne.jp/university/search/809/?lfname=%E6%A9%8B%E6%9C%AC
FS0P,火,2,商学部,健康・スポーツⅡ　ピラティス,秋学期,齋藤　初恵,1年次配当,1単位,https://syllabus.chuo-u.ac.jp/syllabus/detail/?id=9198&k_code=C0,https://campus.nikki.ne.jp/university/search/809/?lfname=%E9%BD%8B%E8%97%A4
FS0Q,金,2,商学部,健康・スポーツⅡ　オールラウンドスポーツ,秋学期,宮崎　大佑,1年次配当,1単位,https://syllabus.chuo-u.ac.jp/syllabus/detail/?id=9197&k_code=C0,https://campus.nikki.ne.jp/university/search/809/?lfname=%E5%AE%AE%E5%B4%8E
FS0R,火,2,商学部,健康・スポーツⅡ　ソフトボール,秋学期,丸山　伸也,1年次配当,1単位,https://syllabus.chuo-u.ac.jp/syllabus/detail/?id=9196&k_code=C0,https://campus.nikki.ne.jp/university/search/809/?lfname=%E4%B8%B8%E5%B1%B1
FS0S,火,3,商学部,健康・スポーツⅡ　ジャンプ＆コーディネーション,秋学期,市場　俊之,1年次配当,1単位,https://syllabus.chuo-u.ac.jp/syllabus/detail/?id=9195&k_code=C0,https://campus.nikki.ne.jp/university/search/809/?lfname=%E5%B8%82%E5%A0%B4
FS0T,火,4,商学部,健康・スポーツⅡ　ジャンプ＆コーディネーション,秋学期,市場　俊之,1年次配当,1単位,https://syllabus.chuo-u.ac.jp/syllabus/detail/?id=9194&k_code=C0,https://campus.nikki.ne.jp/university/search/809/?lfname=%E5%B8%82%E5%A0%B4
FS0U,金,3,商学部,健康・スポーツⅡ　バドミントン,秋学期,関根　正敏,1年次配当,1単位,https://syllabus.chuo-u.ac.jp/syllabus/detail/?id=9193&k_code=C0,https://campus.nikki.ne.jp/university/search/809/?lfname=%E9%96%A2%E6%A0%B9
FS0V,水,2,商学部,健康・スポーツⅡ　トランポリン,秋学期,市場　俊之,1年次配当,1単位,https://syllabus.chuo-u.ac.jp/syllabus/detail/?id=9192&k_code=C0,https://campus.nikki.ne.jp/university/search/809/?lfname=%E5%B8%82%E5%A0%B4
FS0W,火,3,商学部,健康・スポーツⅡ　フライングディスク,秋学期,森谷　暢,1年次配当,1単位,https://syllabus.chuo-u.ac.jp/syllabus/detail/?id=9191&k_code=C0,https://campus.nikki.ne.jp/university/search/809/?lfname=%E6%A3%AE%E8%B0%B7
FS0X,火,2,商学部,健康・スポーツⅡ　フライングディスク,秋学期,森谷　暢,1年次配当,1単位,https://syllabus.chuo-u.ac.jp/syllabus/detail/?id=9190&k_code=C0,https://campus.nikki.ne.jp/university/search/809/?lfname=%E6%A3%AE%E8%B0%B7
FS0Y,水,2,商学部,健康・スポーツⅡ　スイミングⅡ,秋学期,森谷　暢,1年次配当,1単位,https://syllabus.chuo-u.ac.jp/syllabus/detail/?id=9189&k_code=C0,https://campus.nikki.ne.jp/university/search/809/?lfname=%E6%A3%AE%E8%B0%B7
FS0Z,火,3,商学部,健康・スポーツⅡ　テニス,秋学期,早川　みどり,1年次配当,1単位,https://syllabus.chuo-u.ac.jp/syllabus/detail/?id=9188&k_code=C0,https://campus.nikki.ne.jp/university/search/809/?lfname=%E6%97%A9%E5%B7%9D
FS10,火,2,商学部,健康・スポーツⅡ　テニス,秋学期,早川　みどり,1年次配当,1単位,https://syllabus.chuo-u.ac.jp/syllabus/detail/?id=9187&k_code=C0,https://campus.nikki.ne.jp/university/search/809/?lfname=%E6%97%A9%E5%B7%9D
FS11,火,3,商学部,健康・スポーツⅡ　ゴルフ,秋学期,木原　祐二,1年次配当,1単位,https://syllabus.chuo-u.ac.jp/syllabus/detail/?id=9186&k_code=C0,https://campus.nikki.ne.jp/university/search/809/?lfname=%E6%9C%A8%E5%8E%9F
FS12,火,2,商学部,健康・スポーツⅡ　ゴルフ,秋学期,木原　祐二,1年次配当,1単位,https://syllabus.chuo-u.ac.jp/syllabus/detail/?id=9185&k_code=C0,https://campus.nikki.ne.jp/university/search/809/?lfname=%E6%9C%A8%E5%8E%9F
FS13,金,3,商学部,健康・スポーツⅡ　ラクロス,秋学期,宮崎　大佑,1年次配当,1単位,https://syllabus.chuo-u.ac.jp/syllabus/detail/?id=9184&k_code=C0,https://campus.nikki.ne.jp/university/search/809/?lfname=%E5%AE%AE%E5%B4%8E
FS14,火,3,商学部,健康・スポーツⅡ　オールラウンドスポーツ,秋学期,伊澤　英紀,1年次配当,1単位,https://syllabus.chuo-u.ac.jp/syllabus/detail/?id=9183&k_code=C0,https://campus.nikki.ne.jp/university/search/809/?lfname=%E4%BC%8A%E6%BE%A4
FS15,火,2,商学部,健康・スポーツⅡ　オールラウンドスポーツ,秋学期,伊澤　英紀,1年次配当,1単位,https://syllabus.chuo-u.ac.jp/syllabus/detail/?id=9182&k_code=C0,https://campus.nikki.ne.jp/university/search/809/?lfname=%E4%BC%8A%E6%BE%A4
FS16,金,2,商学部,健康・スポーツⅡ　フライングディスク,秋学期,加藤　健志,1年次配当,1単位,https://syllabus.chuo-u.ac.jp/syllabus/detail/?id=9181&k_code=C0,https://campus.nikki.ne.jp/university/search/809/?lfname=%E5%8A%A0%E8%97%A4
AS00,不明,不明,商学部,健康・スポーツⅡ　スキー（秋学期＋冬季集中）,冬季集中,森谷　暢,1年次配当,1単位,https://syllabus.chuo-u.ac.jp/syllabus/detail/?id=9180&k_code=C0,https://campus.nikki.ne.jp/university/search/809/?lfname=%E6%A3%AE%E8%B0%B7
FS17,金,3,商学部,健康・スポーツⅡ　バレーボール,秋学期,飯田　周平,1年次配当,1単位,https://syllabus.chuo-u.ac.jp/syllabus/detail/?id=9179&k_code=C0,https://campus.nikki.ne.jp/university/search/809/?lfname=%E9%A3%AF%E7%94%B0
FS18,金,1,商学部,健康・スポーツⅡ　フェンシングⅡ,秋学期,冨田　智子,1年次配当,1単位,https://syllabus.chuo-u.ac.jp/syllabus/detail/?id=9178&k_code=C0,https://campus.nikki.ne.jp/university/search/809/?lfname=%E5%86%A8%E7%94%B0
FS19,金,3,商学部,健康・スポーツⅡ　ゴルフ,秋学期,小山　慎一,1年次配当,1単位,https://syllabus.chuo-u.ac.jp/syllabus/detail/?id=9177&k_code=C0,https://campus.nikki.ne.jp/university/search/809/?lfname=%E5%B0%8F%E5%B1%B1
FS1A,金,2,商学部,健康・スポーツⅡ　ゴルフ,秋学期,小山　慎一,1年次配当,1単位,https://syllabus.chuo-u.ac.jp/syllabus/detail/?id=9176&k_code=C0,https://campus.nikki.ne.jp/university/search/809/?lfname=%E5%B0%8F%E5%B1%B1
SS04,不明,不明,商学部,健康・スポーツⅠ　ＲＨ１組,春学期,宮崎　伸一,1年次配当,1単位,https://syllabus.chuo-u.ac.jp/syllabus/detail/?id=9175&k_code=C0,https://campus.nikki.ne.jp/university/search/809/?lfname=%E5%AE%AE%E5%B4%8E
SS05,金,3,商学部,健康・スポーツⅠ　テニス,春学期,植田　実,1年次配当,1単位,https://syllabus.chuo-u.ac.jp/syllabus/detail/?id=9174&k_code=C0,https://campus.nikki.ne.jp/university/search/809/?lfname=%E6%A4%8D%E7%94%B0
SS06,火,2,商学部,健康・スポーツⅠ　オルタナティブスポーツ【ターゲット】,春学期,関根　正敏,1年次配当,1単位,https://syllabus.chuo-u.ac.jp/syllabus/detail/?id=9173&k_code=C0,https://campus.nikki.ne.jp/university/search/809/?lfname=%E9%96%A2%E6%A0%B9
SS07,金,2,商学部,健康・スポーツⅠ　バドミントン,春学期,宮崎　大佑,1年次配当,1単位,https://syllabus.chuo-u.ac.jp/syllabus/detail/?id=9172&k_code=C0,https://campus.nikki.ne.jp/university/search/809/?lfname=%E5%AE%AE%E5%B4%8E
SS08,金,3,商学部,健康・スポーツⅠ　オルタナティブスポーツ【バレー】,春学期,飯田　周平,1年次配当,1単位,https://syllabus.chuo-u.ac.jp/syllabus/detail/?id=9171&k_code=C0,https://campus.nikki.ne.jp/university/search/809/?lfname=%E9%A3%AF%E7%94%B0
SS09,金,3,商学部,健康・スポーツⅠ　オールラウンドスポーツ,春学期,関根　正敏,1年次配当,1単位,https://syllabus.chuo-u.ac.jp/syllabus/detail/?id=9170&k_code=C0,https://campus.nikki.ne.jp/university/search/809/?lfname=%E9%96%A2%E6%A0%B9
SS0A,火,3,商学部,健康・スポーツⅠ　ベーシックストリートダンス,春学期,齋藤　初恵,1年次配当,1単位,https://syllabus.chuo-u.ac.jp/syllabus/detail/?id=9169&k_code=C0,https://campus.nikki.ne.jp/university/search/809/?lfname=%E9%BD%8B%E8%97%A4
SS0B,火,2,商学部,健康・スポーツⅠ　ベーシックストリートダンス,春学期,齋藤　初恵,1年次配当,1単位,https://syllabus.chuo-u.ac.jp/syllabus/detail/?id=9168&k_code=C0,https://campus.nikki.ne.jp/university/search/809/?lfname=%E9%BD%8B%E8%97%A4
SS0C,金,2,商学部,健康・スポーツⅠ　テニス,春学期,植田　実,1年次配当,1単位,https://syllabus.chuo-u.ac.jp/syllabus/detail/?id=9167&k_code=C0,https://campus.nikki.ne.jp/university/search/809/?lfname=%E6%A4%8D%E7%94%B0
SS0D,金,2,商学部,健康・スポーツⅠ　ソフトボール,春学期,今村　貴幸,1年次配当,1単位,https://syllabus.chuo-u.ac.jp/syllabus/detail/?id=9166&k_code=C0,https://campus.nikki.ne.jp/university/search/809/?lfname=%E4%BB%8A%E6%9D%91
SS0E,火,3,商学部,健康・スポーツⅠ　バドミントン,春学期,渡邉　秀幹,1年次配当,1単位,https://syllabus.chuo-u.ac.jp/syllabus/detail/?id=9165&k_code=C0,https://campus.nikki.ne.jp/university/search/809/?lfname=%E6%B8%A1%E9%82%89
SS0F,火,2,商学部,健康・スポーツⅠ　バドミントン,春学期,渡邉　秀幹,1年次配当,1単位,https://syllabus.chuo-u.ac.jp/syllabus/detail/?id=9164&k_code=C0,https://campus.nikki.ne.jp/university/search/809/?lfname=%E6%B8%A1%E9%82%89
SS0G,金,3,商学部,健康・スポーツⅠ　バドミントン,春学期,宮崎　大佑,1年次配当,1単位,https://syllabus.chuo-u.ac.jp/syllabus/detail/?id=9163&k_code=C0,https://campus.nikki.ne.jp/university/search/809/?lfname=%E5%AE%AE%E5%B4%8E
SS0H,金,2,商学部,健康・スポーツⅠ　オルタナティブスポーツ【ターゲット】,春学期,小山　慎一,1年次配当,1単位,https://syllabus.chuo-u.ac.jp/syllabus/detail/?id=9162&k_code=C0,https://campus.nikki.ne.jp/university/search/809/?lfname=%E5%B0%8F%E5%B1%B1
SS0I,金,3,商学部,健康・スポーツⅠ　ミニサッカー,春学期,笛木　寛,1年次配当,1単位,https://syllabus.chuo-u.ac.jp/syllabus/detail/?id=9161&k_code=C0,https://campus.nikki.ne.jp/university/search/809/?lfname=%E7%AC%9B%E6%9C%A8
SS0J,金,3,商学部,健康・スポーツⅠ　トランポリン,春学期,市場　俊之,1年次配当,1単位,https://syllabus.chuo-u.ac.jp/syllabus/detail/?id=9160&k_code=C0,https://campus.nikki.ne.jp/university/search/809/?lfname=%E5%B8%82%E5%A0%B4
SS0K,火,4,商学部,健康・スポーツⅠ　トランポリン,春学期,市場　俊之,1年次配当,1単位,https://syllabus.chuo-u.ac.jp/syllabus/detail/?id=9159&k_code=C0,https://campus.nikki.ne.jp/university/search/809/?lfname=%E5%B8%82%E5%A0%B4
SS0L,金,2,商学部,健康・スポーツⅠ　ミニサッカー,春学期,笛木　寛,1年次配当,1単位,https://syllabus.chuo-u.ac.jp/syllabus/detail/?id=9158&k_code=C0,https://campus.nikki.ne.jp/university/search/809/?lfname=%E7%AC%9B%E6%9C%A8
SS0M,火,3,商学部,健康・スポーツⅠ　ミニサッカー,春学期,山田　信幸,1年次配当,1単位,https://syllabus.chuo-u.ac.jp/syllabus/detail/?id=9157&k_code=C0,https://campus.nikki.ne.jp/university/search/809/?lfname=%E5%B1%B1%E7%94%B0
SS0N,火,2,商学部,健康・スポーツⅠ　ミニサッカー,春学期,山田　信幸,1年次配当,1単位,https://syllabus.chuo-u.ac.jp/syllabus/detail/?id=9156&k_code=C0,https://campus.nikki.ne.jp/university/search/809/?lfname=%E5%B1%B1%E7%94%B0
SS0O,水,2,商学部,健康・スポーツⅠ　スイミングⅠ,春学期,森谷　暢,1年次配当,1単位,https://syllabus.chuo-u.ac.jp/syllabus/detail/?id=9155&k_code=C0,https://campus.nikki.ne.jp/university/search/809/?lfname=%E6%A3%AE%E8%B0%B7
SS0P,火,2,商学部,健康・スポーツⅠ　ラクロス,春学期,丸山　伸也,1年次配当,1単位,https://syllabus.chuo-u.ac.jp/syllabus/detail/?id=9154&k_code=C0,https://campus.nikki.ne.jp/university/search/809/?lfname=%E4%B8%B8%E5%B1%B1
SS0Q,火,3,商学部,健康・スポーツⅠ　ラクロス,春学期,丸山　伸也,1年次配当,1単位,https://syllabus.chuo-u.ac.jp/syllabus/detail/?id=9153&k_code=C0,https://campus.nikki.ne.jp/university/search/809/?lfname=%E4%B8%B8%E5%B1%B1
SS0R,火,3,商学部,健康・スポーツⅠ　テニス,春学期,早川　みどり,1年次配当,1単位,https://syllabus.chuo-u.ac.jp/syllabus/detail/?id=9152&k_code=C0,https://campus.nikki.ne.jp/university/search/809/?lfname=%E6%97%A9%E5%B7%9D
SS0S,火,2,商学部,健康・スポーツⅠ　テニス,春学期,早川　みどり,1年次配当,1単位,https://syllabus.chuo-u.ac.jp/syllabus/detail/?id=9151&k_code=C0,https://campus.nikki.ne.jp/university/search/809/?lfname=%E6%97%A9%E5%B7%9D
SS0T,火,2,商学部,健康・スポーツⅠ　ゴルフ,春学期,木原　祐二,1年次配当,1単位,https://syllabus.chuo-u.ac.jp/syllabus/detail/?id=9150&k_code=C0,https://campus.nikki.ne.jp/university/search/809/?lfname=%E6%9C%A8%E5%8E%9F
SS0U,金,3,商学部,健康・スポーツⅠ　オンラインエクササイズⅠ,春学期,森谷　暢,1年次配当,1単位,https://syllabus.chuo-u.ac.jp/syllabus/detail/?id=9149&k_code=C0,https://campus.nikki.ne.jp/university/search/809/?lfname=%E6%A3%AE%E8%B0%B7
SS0V,火,3,商学部,健康・スポーツⅠ　バスケットボール,春学期,伊澤　英紀,1年次配当,1単位,https://syllabus.chuo-u.ac.jp/syllabus/detail/?id=9148&k_code=C0,https://campus.nikki.ne.jp/university/search/809/?lfname=%E4%BC%8A%E6%BE%A4
SS0W,火,2,商学部,健康・スポーツⅠ　バスケットボール,春学期,伊澤　英紀,1年次配当,1単位,https://syllabus.chuo-u.ac.jp/syllabus/detail/?id=9147&k_code=C0,https://campus.nikki.ne.jp/university/search/809/?lfname=%E4%BC%8A%E6%BE%A4
SS0X,水,2,商学部,健康・スポーツⅠ　バランス＆コーディネーション,春学期,市場　俊之,1年次配当,1単位,https://syllabus.chuo-u.ac.jp/syllabus/detail/?id=9146&k_code=C0,https://campus.nikki.ne.jp/university/search/809/?lfname=%E5%B8%82%E5%A0%B4
SS0Y,金,2,商学部,健康・スポーツⅠ　バスケットボール,春学期,橋本　早予,1年次配当,1単位,https://syllabus.chuo-u.ac.jp/syllabus/detail/?id=9145&k_code=C0,https://campus.nikki.ne.jp/university/search/809/?lfname=%E6%A9%8B%E6%9C%AC
FS1B,金,3,商学部,健康・スポーツⅠ　スキー（秋学期＋冬季集中）,秋学期,森谷　暢,1年次配当,1単位,https://syllabus.chuo-u.ac.jp/syllabus/detail/?id=9144&k_code=C0,https://campus.nikki.ne.jp/university/search/809/?lfname=%E6%A3%AE%E8%B0%B7
SS0Z,金,1,商学部,健康・スポーツⅠ　フェンシングⅠ,春学期,冨田　智子,1年次配当,1単位,https://syllabus.chuo-u.ac.jp/syllabus/detail/?id=9143&k_code=C0,https://campus.nikki.ne.jp/university/search/809/?lfname=%E5%86%A8%E7%94%B0
SS10,金,1,商学部,健康・スポーツⅠ　ゴルフ,春学期,小山　慎一,1年次配当,1単位,https://syllabus.chuo-u.ac.jp/syllabus/detail/?id=9142&k_code=C0,https://campus.nikki.ne.jp/university/search/809/?lfname=%E5%B0%8F%E5%B1%B1
SS11,火,3,商学部,健康・スポーツⅠ　バレーボール,春学期,北原　澄高,1年次配当,1単位,https://syllabus.chuo-u.ac.jp/syllabus/detail/?id=9141&k_code=C0,https://campus.nikki.ne.jp/university/search/809/?lfname=%E5%8C%97%E5%8E%9F
SS12,火,2,商学部,健康・スポーツⅠ　バレーボール,春学期,北原　澄高,1年次配当,1単位,https://syllabus.chuo-u.ac.jp/syllabus/detail/?id=9140&k_code=C0,https://campus.nikki.ne.jp/university/search/809/?lfname=%E5%8C%97%E5%8E%9F
SS13,金,3,商学部,健康・スポーツⅠ　バスケットボール,春学期,橋本　早予,1年次配当,1単位,https://syllabus.chuo-u.ac.jp/syllabus/detail/?id=9139&k_code=C0,https://campus.nikki.ne.jp/university/search/809/?lfname=%E6%A9%8B%E6%9C%AC
SS14,金,2,商学部,健康・スポーツⅠ　バレーボール,春学期,飯田　周平,1年次配当,1単位,https://syllabus.chuo-u.ac.jp/syllabus/detail/?id=9138&k_code=C0,https://campus.nikki.ne.jp/university/search/809/?lfname=%E9%A3%AF%E7%94%B0
SS15,火,3,商学部,健康・スポーツⅠ　バランス＆コーディネーション,春学期,市場　俊之,1年次配当,1単位,https://syllabus.chuo-u.ac.jp/syllabus/detail/?id=9137&k_code=C0,https://campus.nikki.ne.jp/university/search/809/?lfname=%E5%B8%82%E5%A0%B4
SO00,木,3,商学部,総合講座（Creative Fusion: アート・デザイン・ビジネス・社会をつなぐ実践的思考）,春学期,砂川　和範,1～4年次配当,2単位,https://syllabus.chuo-u.ac.jp/syllabus/detail/?id=9136&k_code=C0,https://campus.nikki.ne.jp/university/search/809/?lfname=%E7%A0%82%E5%B7%9D
FO00,火,3,商学部,総合講座（AI・データサイエンスと生成AIの基礎）,秋学期,行木　陽子,1～4年次配当,2単位,https://syllabus.chuo-u.ac.jp/syllabus/detail/?id=9135&k_code=C0,https://campus.nikki.ne.jp/university/search/809/?lfname=%E8%A1%8C%E6%9C%A8
FO01,木,4,商学部,総合講座（働くこと入門１１）,秋学期,市村　誠、相園　英速、石川　学、石田　典嗣、内田　直美、許田　晃子、佐々木　明子、鈴木　裕也、田中,1～4年次配当,2単位,https://syllabus.chuo-u.ac.jp/syllabus/detail/?id=9134&k_code=C0,https://campus.nikki.ne.jp/university/search/809/?lfname=%E5%B8%82%E6%9D%91
SO01,水,4,商学部,総合講座（スポーツ・ビジネス―競馬の世界）JRA協力講座,春学期,石村　直之,1～4年次配当,2単位,https://syllabus.chuo-u.ac.jp/syllabus/detail/?id=9133&k_code=C0,https://campus.nikki.ne.jp/university/search/809/?lfname=%E7%9F%B3%E6%9D%91
SO02,水,5,商学部,総合講座（商学部メジャー探検講座）,春学期,西村　純、林　祥平、榎本　俊一、小野　有人、川端　千暁、古賀　裕也、塩路　悦朗、髙岡　浩一郎、寺本,1年次のみ,2単位,https://syllabus.chuo-u.ac.jp/syllabus/detail/?id=9132&k_code=C0,https://campus.nikki.ne.jp/university/search/809/?lfname=%E8%A5%BF%E6%9D%91
FO02,水,4,商学部,総合講座（会計プロフェッション探究講座）公認会計士白門会協力講座,秋学期,櫻井　康弘,1～4年次配当,2単位,https://syllabus.chuo-u.ac.jp/syllabus/detail/?id=9131&k_code=C0,https://campus.nikki.ne.jp/university/search/809/?lfname=%E6%AB%BB%E4%BA%95
SO03,火,3,商学部,特殊講義（食と食品産業の現在・未来）,春学期,北濱　利弘、山本　慎悟,3･4年次配当,2単位,https://syllabus.chuo-u.ac.jp/syllabus/detail/?id=9130&k_code=C0,https://campus.nikki.ne.jp/university/search/809/?lfname=%E5%8C%97%E6%BF%B1
